CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50001867,SOCIETE GENERAL,1,245,PARK AVE,10167,2122787999,0,1/10/14,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,12,0,1/10/14,9/19/16,Pre-permit (Operational) / Re-inspection
41075312,STEVE'S PIZZA PLACE,2,8218,ELIOT AVENUE,11379,7188994751,7,2/12/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,12,0,2/12/14,9/19/16,Cycle Inspection / Initial Inspection
50000338,ZORALIE RESTAURANT,1,449,WEST 51 STREET,10019,6465903751,2,4/28/14,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,8,0,4/28/14,9/19/16,Cycle Inspection / Re-inspection
50017822,DON LEO'S PLACE,3,648,SOUNDVIEW AVE,10473,3472875074,23,1/28/16,Violations were cited in the following area(s).,2,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140퉌_ F to 70퉌_ F or less within 2 hours, and from 70퉌_ F to 41퉌_ F or less within 4 additional hours.",1,17,1,1/28/16,9/19/16,Cycle Inspection / Re-inspection
41591488,ACQUA RESTAURANT,1,2123,PECK SLIP,10038,2123494433,13,4/24/14,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,12,0,4/24/14,9/19/16,Cycle Inspection / Re-inspection
50008244,TEN JIN XEING BEING RESTAURANT,2,4128,MAIN ST,11355,9173791236,1,8/11/14,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,23,1,8/11/14,9/19/16,Cycle Inspection / Re-inspection
50012179,TAQUERIA EL BARRIO,1,2327,1ST AVE,10035,6466493052,23,9/24/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,7,0,9/24/14,9/19/16,Pre-permit (Operational) / Initial Inspection
40591202,WESTEND LOUNGE,1,955,WEST END AVENUE,10025,2125314759,0,7/26/16,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,7,0,7/26/16,9/19/16,Cycle Inspection / Re-inspection
41407696,LITTLEFIELD,0,622,DEGRAW STREET,11217,3474354259,0,4/13/16,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,11,0,4/13/16,9/19/16,Cycle Inspection / Initial Inspection
50011080,AZOGUENITA  BAKERY & RESTAURANT,2,4026,NATIONAL ST,11368,7184262900,23,9/12/16,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,10,0,9/12/16,9/19/16,Cycle Inspection / Initial Inspection
40701605,BAHARI ESTIATORIO,2,3114,BROADWAY,11106,7182048968,18,12/16/13,Violations were cited in the following area(s).,10,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",0,12,0,12/16/13,9/19/16,Cycle Inspection / Re-inspection
50034851,MAISON KAYSER BAKERY,1,355,GREENWICH ST,10013,2129663200,34,2/10/16,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,13,0,2/10/16,9/19/16,Cycle Inspection / Re-inspection
41525010,PARDES RESTAURANT,0,497,ATLANTIC AVENUE,11217,7187973880,38,7/1/14,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,7,0,7/1/14,9/19/16,Cycle Inspection / Re-inspection
41572440,THE LOFT AT ARIANA'S GRAND,4,4864,ARTHUR KILL ROAD,10309,7189664522,13,4/25/14,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,10,0,4/25/14,9/19/16,Cycle Inspection / Re-inspection
41584432,BURGER KING,4,3901,RICHMOND AVENUE,10312,7189671237,0,5/11/16,Violations were cited in the following area(s).,4,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,1,13,0,5/11/16,9/19/16,Cycle Inspection / Re-inspection
41314323,DELICIA DONA MARIA RESTAURANT,2,8809,JAMAICA AVENUE,11421,7188462040,2,3/18/14,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,12,0,3/18/14,9/19/16,Cycle Inspection / Re-inspection
